sub_CST,Lactobacillus_iners,Lactobacillus_crispatus,Gardnerella_vaginalis,Lactobacillus_jensenii,Lactobacillus_gasseri,Atopobium_vaginae,BVAB1,Sneathia_sanguinegens,g_Megasphaera,g_Streptococcus,Prevotella_timonensis,BVAB2/BVAB3,g_Anaerococcus,g_Peptoniphilus,g_Corynebacterium_1,g_Finegoldia,g_Bifidobacterium,Prevotella_amnii,g_Aerococcus,BVAB_TM7,g_Prevotella,g_Parvimonas,Prevotella_bivia,g_Staphylococcus,g_Dialister,g_Senegalimassilia,g_Enterococcus,g_Lactobacillus,g_Mobiluncus,g_Gemella,g_Peptostreptococcus,g_Escherichia.Shigella,g_Porphyromonas,g_Veillonella,Lactobacillus_reuteri,Prevotella_colorans,g_Ezakiella,Prevotella_buccalis,g_Ureaplasma,d_Eukaryota,Lactobacillus_ultunensis_1,g_Alloscardovia,Lactobacillus_coleohominis,Prevotella_disiens,g_Moryella,Prevotella_nanceiensis,g_Mycoplasma,Prevotella_corporis,g_Actinomyces,g_Haemophilus,g_Klebsiella,g_Varibaculum,g_Rikenellaceae_RC9_gut_group,g_Proteus,g_Clostridium_sensu_stricto_1,g_Campylobacter,g_Paeniglutamicibacter,g_Fusobacterium,Prevotella_melaninogenica,g_Howardella,g_Peptococcus,f_Bacteroidales_S24.7_group,g_Bacteroides,g_Facklamia,g_Olsenella,g_Arcanobacterium,g_Lawsonella,g_Brevibacterium,g_Oligella,f_Enterobacteriaceae,d_NA,g_Propionimicrobium,g_Halomonas,g_Helcococcus,g_Murdochiella,Prevotella_denticola,g_Bulleidia,g_Micrococcus,g_Propionibacterium,g_Shewanella,g_Gallicola,g_Roseburia,p_Proteobacteria,g_Corynebacterium,o_Micrococcales,Lactobacillus_paracasei_Lactobacillus_rhamnosus,g_Jonquetella,g_Acinetobacter,g_Blautia,Atopobium_parvulum,g_Collinsella,g_Ruminococcaceae_UCG.014,Prevotella_oris,Sneathia_amnii,g_Stenotrophomonas,g_Faecalibacterium,Atopobium_deltae,f_Lachnospiraceae,f_Family_XI,Prevotella_veroralis,Lactobacillus_salivarius,g_Ralstonia,g_Granulicatella,g_Slackia,g_Rothia,g_Neisseria,g_Nosocomiicoccus,g_Sutterella,Prevotellaceae_bacterium,g_Kocuria,Prevotella_bergensis,f_Family_XIII,g_Globicatella,g_Alloprevotella,Lactobacillus_kefiranofaciens,g_Zimmermannella,g_Actinotignum,g_Sneathia,f_Mycoplasmataceae,g_Negativicoccus,Lactobacillus_fermentum,g_Solobacterium,g_Subdoligranulum,g_Trichococcus,Lactobacillus_delbrueckii,g_Dermabacter,f_Corynebacteriaceae,Atopobium_minutum,g_Lactococcus,g_Sarcina,Lactobacillus_pontis,g_Ruminococcaceae_UCG.002,g_Ruminococcus_2,f_Ruminococcaceae,g_Variovorax,g_Dorea,g_Christensenellaceae_R.7_group,g_Weeksella,g_Rhizobium,g_Anaeroglobus,g_Helcobacillus,Prevotella_copri,g_Alistipes,Lactobacillus_equicursoris,g_Tessaracoccus,g_Helicobacter,g_Actinobaculum,g_Leucobacter,g_Trueperella,f_Halomonadaceae,g_Parabacteroides,Lactobacillus_aviarius,g_Ruminococcus_1,c_Betaproteobacteria,g_Phascolarctobacterium,g_Burkholderia.Paraburkholderia,Prevotella_histicola,g_Enhydrobacter,f_Neisseriaceae,g_Bacillus,g_Anaerostipes,c_Clostridia,f_Prevotellaceae,g_Pyramidobacter,f_Carnobacteriaceae,g_Fusicatenibacter,g_Distigma,g_Serratia,g_Enterobacter,g_Acidaminococcus,g_Citrobacter,f_Pasteurellaceae,g_Pasteurella,g_Bergeyella,f_Peptostreptococcaceae,g_Lachnospiraceae_FE2018_group,g_Delftia,Shuttleworthia_satelles,g_Actinobacillus,g_Sporosarcina,g_Lachnoclostridium,g_Akkermansia,g_Pseudarthrobacter,g_Cupriavidus,g_Mogibacterium,Prevotella_stercorea,g_Kluyvera,g_Leptotrichia,g_Romboutsia,g_Coprococcus_3,g_Coprococcus_2,g_Sphingomonas,o_Clostridiales,c_Chloroplast,g_Scardovia,g_Lachnospira,g_Lachnospiraceae_NK4A136_group,g_Catonella,g_Pediococcus
I-A,0.004687261,0.958091715,0.001150955,0.009720825,0.00130285,0.000122894,6.96E-05,3.26E-05,4.70E-05,0.000697813,0.000363289,5.23E-05,0.001239662,0.000743801,0.002185713,0.001766444,8.42E-05,7.93E-06,2.08E-05,6.20E-06,1.66E-05,1.23E-05,0.000516358,0.000720092,0.00019579,6.80E-06,6.16E-05,0.006036437,3.00E-05,3.14E-05,6.14E-05,0.000235515,0.000106248,7.89E-05,0.002550332,2.88E-05,0.000237624,5.97E-05,0.00064237,0.000697039,7.31E-05,5.01E-05,0.000498425,7.62E-05,5.51E-06,1.64E-06,7.52E-06,0.000111909,0.000116332,3.36E-05,1.24E-05,7.80E-05,1.33E-06,4.71E-06,0.001250633,5.57E-05,0.000148795,2.65E-05,6.90E-06,3.01E-05,2.95E-06,3.79E-06,0.000106417,9.01E-05,2.07E-05,1.53E-06,6.23E-05,9.82E-05,9.38E-05,2.18E-06,0.000180463,1.21E-05,0.000227051,6.25E-05,3.42E-05,9.75E-07,7.01E-08,2.88E-05,0.000106903,0.000113559,2.45E-05,3.42E-05,2.88E-06,3.34E-05,3.24E-06,2.65E-08,1.53E-05,6.40E-05,4.50E-05,8.98E-06,2.92E-05,1.60E-05,5.07E-08,2.22E-08,5.43E-05,4.03E-05,5.72E-06,2.36E-05,4.36E-06,3.98E-07,1.39E-07,9.15E-06,3.28E-06,2.74E-06,1.78E-05,7.58E-06,5.87E-06,1.76E-05,4.71E-05,1.80E-06,6.16E-06,7.89E-06,3.39E-06,2.23E-06,0.000350262,2.07E-05,4.19E-06,2.46E-07,2.42E-08,7.72E-06,1.76E-05,6.20E-07,1.40E-05,0,0,1.00E-05,7.68E-06,8.28E-06,8.20E-07,8.25E-05,0,6.59E-06,8.72E-06,5.41E-06,1.81E-05,1.19E-05,2.41E-06,5.01E-06,9.71E-06,3.45E-06,5.11E-06,2.01E-05,3.76E-06,0,5.61E-06,1.84E-06,9.76E-06,1.03E-08,1.05E-05,2.38E-05,6.29E-06,3.48E-07,1.41E-05,1.49E-06,4.06E-06,7.44E-06,1.02E-06,6.96E-06,3.09E-05,1.15E-05,9.45E-06,1.03E-06,5.09E-06,2.43E-06,7.84E-09,9.35E-06,1.17E-05,2.09E-06,8.72E-07,4.15E-06,4.95E-07,3.41E-07,0,1.28E-06,1.05E-06,3.13E-08,1.19E-05,8.55E-08,1.37E-06,1.36E-07,4.57E-06,4.08E-06,9.50E-08,1.32E-08,3.41E-07,9.96E-06,2.44E-08,3.60E-06,2.32E-06,2.46E-06,4.77E-06,2.59E-05,1.36E-06,1.25E-05,1.39E-08,5.49E-06,3.60E-06,2.45E-08,0
I-B,0.061931215,0.716048729,0.01265023,0.041706489,0.020970376,0.002571316,0.000292863,0.001054513,0.000856969,0.010394493,0.003775376,0.000397053,0.008694648,0.006219591,0.009797729,0.011268986,0.00873872,8.24E-05,0.000468017,3.90E-05,0.000195977,0.000243041,0.004137903,0.005096732,0.002147031,1.00E-04,0.002532335,0.013524479,0.000277467,0.000516863,0.00073868,0.004277497,0.000973458,0.000808965,0.005297955,0.000374878,0.001946527,0.000844543,0.002285,0.001753703,0.010320455,0.001255423,0.001867383,0.000569674,8.50E-05,3.24E-05,4.11E-05,0.001435812,0.001231527,0.000491782,8.82E-05,0.00078264,1.61E-05,4.53E-05,0.002156129,0.00064239,0.000677875,0.000499632,7.42E-05,0.000344276,4.84E-05,4.75E-05,0.000345161,0.000729452,0.000152345,1.90E-05,0.000383665,0.00046349,0.000325884,7.00E-05,0.000429347,0.000202387,0.000649632,0.000364288,0.000304117,0.000265022,2.71E-06,5.62E-05,0.000306931,0.00041685,0.000213911,0.000128305,1.72E-05,0.0001817,1.03E-05,1.27E-06,0.000188157,8.55E-05,0.000167236,0.00041517,8.35E-05,8.19E-05,2.12E-06,4.38E-06,0.000120073,0.000127412,6.20E-05,8.53E-05,5.91E-05,5.10E-06,8.57E-06,9.06E-05,6.81E-05,5.37E-05,0.000201345,0.000140502,7.18E-05,0.000106798,3.57E-05,1.30E-05,5.43E-05,8.38E-05,1.84E-05,3.88E-05,2.91E-07,9.08E-05,6.83E-05,3.87E-05,1.06E-07,6.13E-05,6.56E-05,4.98E-06,5.74E-05,0,2.77E-05,4.63E-05,5.32E-06,7.47E-05,0.000113487,0.000416379,0,1.43E-05,2.91E-05,2.28E-05,6.54E-05,3.42E-05,1.97E-05,2.59E-05,0.000111653,4.90E-05,4.52E-05,3.48E-05,1.26E-05,0,2.96E-05,0,1.90E-05,2.48E-08,2.85E-05,0.000100185,2.41E-05,7.71E-05,2.31E-05,4.93E-06,1.90E-05,1.35E-05,2.07E-05,1.73E-05,0.00014653,1.66E-05,2.81E-05,6.81E-06,8.00E-06,2.31E-05,7.45E-06,2.65E-05,3.38E-05,1.10E-05,1.99E-05,1.13E-05,2.41E-06,6.38E-05,0,1.27E-05,5.97E-06,3.64E-06,3.54E-05,6.33E-06,1.40E-05,9.54E-08,1.88E-05,6.74E-06,7.63E-05,6.84E-06,2.50E-06,5.01E-06,3.19E-06,3.13E-05,1.15E-05,8.69E-06,1.21E-05,6.47E-06,2.56E-05,1.96E-05,2.69E-05,2.86E-05,1.57E-05,1.03E-06,0
II,0.062537751,0.006031606,0.0762747,0.004020265,0.657549069,0.007863389,0.000306954,0.001137541,0.000214652,0.016306728,0.013021037,0.000331437,0.018402675,0.007744779,0.0187746,0.014676957,0.026787669,0.000484479,0.000328466,0.000237893,8.32E-05,5.23E-05,0.003400963,0.00246916,0.004305348,0.000156609,0.001015043,0.00024901,0.000128112,0.000544059,0.001742612,0.002664619,0.000539385,0.000510629,0.002468378,0.000307775,0.002338334,0.001408434,0.003500481,0.001891866,0.000103293,0.006188002,0.000306074,0.000552579,0.00012923,7.12E-07,9.64E-05,0.00184689,0.000832941,0.000633353,0.002235197,0.001936824,1.50E-05,4.04E-05,1.49E-05,0.000942732,0.001601011,0.000342367,5.42E-05,0.001110543,2.75E-05,3.05E-05,0.000238059,0.000877117,0.001282602,6.76E-05,0.000212808,0.001464206,0.000952917,3.72E-05,0.000389205,0.001548974,0.000394692,0.000798839,0.000195485,8.17E-07,2.26E-07,6.05E-05,0.000171984,0.00012342,0.000414324,0.000116873,1.51E-05,0.00027072,4.40E-06,0.00040502,0.000101499,0.000147802,6.68E-05,0.000172295,3.48E-05,4.42E-05,5.88E-07,0,0.000306055,7.89E-05,0.000160593,7.37E-05,8.78E-05,1.62E-05,6.63E-05,0.000258272,4.55E-06,0.000125434,8.51E-06,1.65E-05,1.25E-05,5.09E-05,9.26E-07,1.87E-05,2.73E-05,5.86E-05,9.95E-05,1.63E-05,0,3.37E-05,2.10E-05,1.36E-06,0,3.69E-05,0.000264112,2.04E-06,1.45E-05,0,0.000116848,0.000136846,1.61E-05,6.95E-07,8.51E-08,0,0,1.07E-05,2.25E-05,1.06E-05,0.000291628,2.12E-05,1.69E-05,0.000223941,0.000716774,2.33E-05,9.52E-08,1.26E-06,9.23E-06,0.000634661,2.51E-05,0.000140208,5.41E-05,0.000320965,7.58E-05,2.26E-05,5.01E-06,0,1.25E-05,1.14E-05,9.42E-06,2.87E-06,2.00E-05,0.000101998,5.92E-06,4.56E-05,6.18E-06,0.000166284,5.65E-07,1.39E-05,6.30E-07,1.67E-05,4.70E-05,4.12E-06,2.33E-06,2.02E-05,0.001763472,0,0,9.90E-06,4.06E-06,5.68E-07,0.000133238,0,0,0,9.59E-06,2.19E-06,0,0,4.65E-07,0,0,4.63E-06,7.01E-06,8.87E-06,7.39E-07,8.98E-05,3.51E-06,2.90E-05,0,4.52E-06,4.54E-06,3.03E-08,0.000216921
III-A,0.908468159,0.0029028,0.010131361,0.029875103,0.005788065,0.000560481,0.000402495,0.00052845,0.000577159,0.005954162,0.000598885,0.000144104,0.002121285,0.001632218,0.004632577,0.003901264,0.000146792,7.31E-05,0.000665987,6.69E-05,6.98E-05,6.41E-05,0.000675227,0.003252249,0.000281854,7.54E-05,0.000248127,0.000399494,5.56E-05,0.000381932,0.00025795,0.000524321,0.000194291,0.000489058,0.001421717,7.64E-05,0.000456301,0.000138341,0.001652259,0.001139293,2.36E-06,3.06E-05,0.001484036,0.000121131,1.26E-05,5.81E-06,0.000150529,9.56E-05,0.000168562,0.000410747,0.000404821,0.000127117,4.09E-06,1.63E-05,0.00013645,0.000163503,0.000171525,9.92E-05,3.72E-05,7.54E-05,1.29E-05,7.26E-06,0.000327832,9.93E-05,3.03E-05,6.13E-06,8.53E-05,0.000209419,6.12E-05,3.07E-05,0.000242939,2.85E-05,0.000632115,4.89E-05,4.26E-05,1.07E-06,6.21E-07,7.89E-05,0.000174689,0.000344503,4.49E-05,5.53E-05,1.42E-05,0.000115526,1.33E-06,2.39E-06,5.54E-05,0.000294048,0.000125774,7.16E-06,3.09E-05,7.75E-05,7.41E-07,3.37E-08,0.000182247,5.03E-05,1.43E-05,7.08E-05,1.31E-05,3.74E-06,2.49E-05,6.25E-05,3.59E-05,9.29E-06,7.03E-05,4.24E-05,1.53E-05,1.98E-05,1.33E-05,4.74E-06,8.48E-06,1.72E-05,9.52E-06,7.46E-06,2.74E-06,1.05E-05,4.15E-05,3.52E-07,9.70E-06,1.32E-05,1.20E-05,2.82E-06,2.71E-05,0,0,3.02E-05,2.57E-05,1.08E-05,4.46E-07,1.65E-05,6.56E-05,8.52E-06,1.75E-05,8.86E-06,7.36E-05,1.59E-05,2.63E-06,4.73E-06,9.24E-05,1.41E-05,7.58E-06,7.51E-06,2.01E-05,1.05E-07,2.11E-05,3.23E-05,1.06E-05,1.21E-06,3.36E-06,6.15E-05,1.92E-05,9.07E-06,2.09E-05,2.46E-06,8.22E-06,2.66E-05,7.47E-06,2.94E-05,1.42E-05,8.77E-05,1.09E-05,2.54E-06,4.69E-07,2.79E-06,3.51E-08,1.25E-05,2.35E-05,4.67E-05,5.84E-06,1.12E-05,6.80E-07,5.73E-07,1.03E-07,1.89E-05,1.76E-06,2.67E-07,6.82E-05,0,7.97E-06,7.20E-08,2.48E-05,6.14E-06,0,1.06E-05,3.27E-07,8.57E-07,1.04E-07,1.28E-05,7.15E-06,3.45E-06,4.44E-06,7.51E-05,1.50E-06,1.08E-05,0,1.30E-05,5.73E-06,7.53E-08,1.62E-06
III-B,0.609408439,0.12333286,0.089607443,0.022025566,0.005286305,0.009318014,0.00331471,0.004299088,0.005617788,0.020855192,0.003319457,0.00066112,0.009363315,0.006969694,0.008781109,0.012338712,0.000469949,0.001011105,0.006435776,0.000889534,0.000554698,0.000591734,0.004172676,0.005777763,0.00165753,0.00069245,0.000529444,0.004458584,0.000233264,0.001812111,0.001546678,0.001681986,0.00120229,0.002159513,0.004152456,0.000430329,0.001671959,0.000454226,0.002676367,0.001334018,8.13E-05,0.00020827,0.001536753,0.000536525,0.000188136,0.000136567,0.000667157,0.000464268,0.00066649,0.001497695,0.000283256,0.000571247,5.39E-05,2.02E-05,0.00063511,0.000486223,0.000427801,0.000236185,0.000255472,0.000304367,9.40E-05,4.84E-05,0.000605598,0.000476327,0.00011665,6.99E-05,0.000373601,0.000268224,0.000107896,0.000174473,0.000269314,0.000156485,0.000384423,0.000240705,0.00014992,2.34E-06,1.40E-05,5.97E-05,0.000207126,0.000228351,0.000182732,0.000224726,1.32E-05,0.000179913,2.90E-05,7.67E-07,0.000106841,0.000196587,0.000218313,6.67E-05,0.000125074,0.000126721,3.41E-06,6.25E-06,0.000113737,0.000191892,4.95E-05,0.000156904,3.05E-05,4.28E-05,1.45E-05,0.000255202,0.000155773,4.54E-05,0.000113629,0.00017195,2.12E-05,6.54E-05,0.000105375,2.58E-06,6.99E-05,7.38E-05,2.28E-05,3.69E-05,5.63E-07,2.21E-05,7.78E-05,8.87E-06,5.78E-06,5.46E-05,1.75E-05,1.74E-05,5.64E-05,2.29E-05,0,6.94E-05,8.24E-05,6.58E-05,5.95E-06,6.44E-05,1.61E-06,1.81E-05,6.23E-05,8.66E-05,5.68E-05,5.57E-05,1.60E-05,3.50E-05,7.64E-05,2.56E-05,1.95E-05,2.31E-05,5.13E-05,1.75E-06,3.58E-05,6.87E-05,7.24E-05,3.83E-07,1.73E-05,3.61E-05,3.88E-05,2.73E-06,6.71E-05,1.44E-05,1.76E-05,0.00010553,2.35E-05,2.82E-05,1.38E-05,3.02E-05,3.78E-05,4.86E-06,1.94E-05,1.66E-05,5.66E-06,3.92E-05,2.12E-05,3.55E-05,3.68E-06,2.81E-05,3.87E-06,5.64E-06,2.60E-08,1.27E-05,8.64E-06,1.92E-06,7.73E-05,2.32E-07,9.47E-05,1.05E-07,2.26E-05,1.48E-05,0,3.98E-05,4.37E-06,2.94E-05,3.70E-07,2.47E-05,2.06E-05,1.69E-05,2.00E-05,2.84E-05,5.31E-06,2.47E-05,1.76E-08,2.26E-05,1.35E-05,1.15E-06,8.84E-08
